,make,model,mileage,fuel-type,first-registration,price
317,mercedes-benz,a 250,unknown,2,new,42400
318,mercedes-benz,a 250,28600,2,05-2021,37950
319,mercedes-benz,a 250,50707,2,06-2022,38000
320,mercedes-benz,a 250,19150,2,08-2022,40100
321,mercedes-benz,a 250,30839,2,04-2022,33900
322,mercedes-benz,a 250,71680,2,01-2021,34900
323,mercedes-benz,a 250,28000,2,04-2021,35950
324,mercedes-benz,a 250,20978,2,10-2022,40100
325,mercedes-benz,a 250,38770,2,07-2020,36100
326,mercedes-benz,a 250,48063,b,08-2019,33900
327,mercedes-benz,a 250,unknown,2,new,45530
328,mercedes-benz,a 250,32900,2,05-2021,36499
329,mercedes-benz,a 250,5250,2,12-2020,31500
330,mercedes-benz,a 250,50000,2,12-2020,36500
331,mercedes-benz,a 250,35360,2,03-2021,37500
332,mercedes-benz,a 250,38770,2,07-2020,36100
333,mercedes-benz,a 250,50347,2,01-2021,39000
334,mercedes-benz,a 250,590,2,02-2022,41999
335,mercedes-benz,a 250,unknown,2,new,44660
336,mercedes-benz,a 250,35000,2,06-2021,35400
337,mercedes-benz,a 250,50707,2,06-2022,38000
338,mercedes-benz,a 250,55226,2,06-2020,34300
339,mercedes-benz,a 250,21938,2,12-2021,35900
340,mercedes-benz,a 250,0,2,new,44821
341,mercedes-benz,a 250,71680,2,01-2021,34900
342,mercedes-benz,a 250,83000,b,10-2018,34500
343,mercedes-benz,a 250,unknown,2,new,46640
344,mercedes-benz,a 250,49500,2,10-2020,32900
345,mercedes-benz,a 250,72000,b,05-2018,33900
346,mercedes-benz,a 250,52712,2,12-2020,31500
347,mercedes-benz,a 250,38193,2,07-2020,31500
348,mercedes-benz,a 250,116000,b,06-2016,26500
349,mercedes-benz,a 250,50503,2,08-2020,32550
350,mercedes-benz,a 250,140000,b,01-2014,17750
351,mercedes-benz,a 250,62863,b,01-2019,41750
352,mercedes-benz,a 250,9824,2,02-2022,34500
353,mercedes-benz,a 250,88000,b,05-2019,36500
354,mercedes-benz,a 250,19264,2,01-2021,37500
355,mercedes-benz,a 250,1,2,07-2023,47900
356,mercedes-benz,a 250,29029,b,07-2019,36300
357,mercedes-benz,a 250,29000,b,07-2021,39800
358,mercedes-benz,a 250,48145,2,04-2021,33900
359,mercedes-benz,a 250,39269,2,06-2020,35900
360,mercedes-benz,a 250,10355,2,10-2022,40100
361,mercedes-benz,a 250,34779,2,10-2020,40400
362,mercedes-benz,a 250,29000,b,07-2021,41800
363,mercedes-benz,a 250,12967,b,09-2022,41000
364,mercedes-benz,a 250,unknown,2,new,43960
365,mercedes-benz,a 250,23042,2,07-2022,37000
366,mercedes-benz,a 250,157200,b,09-2012,19000
367,mercedes-benz,a 250,21928,2,09-2022,38900
368,mercedes-benz,a 250,17956,b,03-2021,41290
369,mercedes-benz,a 250,62000,b,01-2019,35000
370,mercedes-benz,a 250,108000,b,11-2013,23000
371,mercedes-benz,a 250,23994,b,07-2021,39990
372,mercedes-benz,a 250,31000,2,12-2020,39000
373,mercedes-benz,a 250,40000,2,12-2020,40000
374,mercedes-benz,a 250,4260,2,12-2022,46800
375,mercedes-benz,a 250,34779,2,10-2020,40400
376,mercedes-benz,a 250,51986,2,06-2021,29900
377,mercedes-benz,a 250,23042,2,07-2022,37000
378,mercedes-benz,a 250,11535,2,03-2022,35890
379,mercedes-benz,a 250,12327,2,01-2023,46500
380,mercedes-benz,a 250,0,2,new,47500
381,mercedes-benz,a 250,unknown,2,new,47510
382,mercedes-benz,a 250,unknown,2,new,49330
383,mercedes-benz,a 250,8715,2,01-2023,47900
384,mercedes-benz,a 250,54900,2,03-2021,34700
385,mercedes-benz,a 250,50900,b,01-2019,35900
386,mercedes-benz,a 250,unknown,2,new,44400
387,mercedes-benz,a 250,unknown,2,new,43080
388,mercedes-benz,a 250,50707,2,06-2022,38000
389,mercedes-benz,a 250,19900,2,12-2022,34100
390,mercedes-benz,a 250,88000,b,10-2018,31000
391,mercedes-benz,a 250,71680,2,01-2021,34900
392,mercedes-benz,a 250,0,2,new,45750
393,mercedes-benz,a 250,0,2,new,45750
394,mercedes-benz,a 250,38770,2,07-2020,36100
395,mercedes-benz,a 250,39000,b,04-2019,32450
396,mercedes-benz,a 250,38000,2,09-2021,42000
397,mercedes-benz,a 250,50707,2,06-2022,38000
398,mercedes-benz,a 250,50707,2,06-2022,38000
